"id","__typename","BadEvent","BibleStudy","BibleTime","Classes","createdAt","Description","Game","GoodEvent","Hangout","Happy","Healthy","Homewok","Homework","Indo","JessCall","Lift","Meals","Nap","Parents","Practice","Prayed","PT","Satisfied","Sleep","Stressed","StressedOut","updatedAt","VideoGames","WallBall"
"54","Days","false","false","false","true","2024-03-08T01:46:58.839Z","""Lift, breakfast, nap, lunch, class, practice, dinner, video games, hw, jess call, video games with James""","false","false","true","5","3","","true","false","true","true","4","true","false","true","false","false","true","8","false","2","2024-03-08T01:46:58.839Z","true","true"
"8","Days","false","","","false","2024-01-16T04:58:36.649Z","""First lift, guidebook meeting. Frolfed, team bible study, and ranked players""","false","false","true","5","5","","false","false","true","true","4","false","false","false","","false","true","75","false","","2024-01-16T04:58:36.649Z","true","true"
"66","Days","false","false","true","true","2024-03-22T03:17:32.891Z","""Breakfast, yoga, lunch, no ethics class, nap, practice, team dinner, scout, hw, Jess call, hw ""","false","false","true","4","2","","true","false","true","false","3","true","false","true","true","false","true","65","","4","2024-03-22T03:17:32.891Z","false","true"
"48","Days","false","","","false","2024-03-02T02:08:35.959Z","""Indo, wall ball, heat bath, practice, talk with piper, cleaned everything in my room, got everything ready for going home this weekend, hung out with Michael Emily mom and dad, then dinner, then Jess time ""","false","true","true","5","4","","false","true","true","false","3","false","true","true","","false","true","9","false","","2024-03-02T02:08:35.959Z","false","true"
"9","Days","false","","","false","2024-01-17T03:55:26.932Z","""Snow day, had online class then shoveled snow off the field. Hips are feeling terrible. ""","false","false","true","3","3","","true","false","true","true","5","false","false","false","","false","true","4","true","","2024-01-17T03:55:26.932Z","true","false"
"59","Days","false","false","false","true","2024-03-15T04:30:03.940Z","""Skipped classes, lunch, indo, game, hangout with parents, went to store, dinner, Jess call, Rick and morty with Austin, talked with Sam and ethan ""","true","false","true","6","3","","false","true","true","false","3","false","true","false","true","false","true","95","","4","2024-03-15T04:30:03.940Z","false","false"
"1","Days","false","","","false","2024-01-12T21:39:19.149Z","""First day of school, only Ta'd. Excited to work on project this semester, finally able to run with everyone else, wallball for awhile, lifted with Turo, video games at night. Jess had two interviews. Life is good. ""","false","false","true","5","5","true","true","false","true","true","3","false","false","false","","false","true","85","false","","2024-01-15T04:39:47.369Z","true","true"
"31","Days","false","","","false","2024-02-12T04:37:10.738Z","""Breakfast with Jess, lunch with minch parents, Super Bowl, sadly Taylor swift won ""","false","false","true","2","4","","false","false","true","false","3","false","false","false","","false","false","6","true","","2024-02-12T04:37:10.738Z","true","false"
"6","Days","false","","","false","2024-01-15T04:40:14.792Z","""Slept in, finished project proposal. Parents brought food, played video games.""","false","false","true","4","5","","true","false","true","false","2","false","true","false","","false","false","9","false","","2024-01-15T04:40:14.792Z","true","false"
"62","Days","false","false","false","false","2024-03-18T01:25:48.042Z","""Got playa bowls, did laundry, took out trash, watched a movie, ate leftover halal guys, did hw, called Jess, played video games, called parents ""","false","false","false","2","4","","true","false","true","false","3","false","false","false","true","false","false","95","","5","2024-03-18T01:25:48.042Z","true","false"
"60","Days","false","true","false","false","2024-03-16T03:30:37.476Z","""Indo, math office, ta, lunch, super smash bros with Jackson pags garrison TJ, wall ball, practice, halal guys with minch, video games, anime with minch ""","false","false","true","4","3","","false","true","false","false","3","false","false","true","true","false","false","8","","4","2024-03-16T03:30:37.476Z","true","true"
"61","Days","false","false","true","false","2024-03-17T23:01:49.754Z","""Touches at 10, Game at 1, Lost to Stockton, Dinner for mommom's birthday, hungout with Jess, Great American Pub""","true","false","false","5","4","","false","true","true","false","2","false","true","false","true","false","true","65","","2","2024-03-17T23:01:49.754Z","false","true"
"38","Days","false","","","false","2024-02-20T00:28:12.553Z","""Film, lunch, ta, at room, practice, dinner, homework, video games with James, call with Jess, homework, anime with Minch""","false","false","true","5","4","","true","true","true","false","4","false","true","true","","false","true","8","false","","2024-02-20T00:28:12.553Z","true","false"
"60567e17-70db-434c-b441-4180882e6c33","Days","false","","","false","2024-01-31T03:49:38.645Z","""Lift, breakfast, slept in professors office, indo, ta, lunch, practice, foxhole bible study, parent call, jess call, sleep""","false","false","true","4","4","false","false","true","true","true","3","false","true","true","","false","false","8","true","","2024-01-31T03:49:38.645Z","false","true"
"28","Days","false","","","true","2024-02-09T03:57:33.992Z","""Lift, breakfast, nap, yoga, lunch, had my presentation that went well, funny, practice, attempt to go to canes and end up at chik fil a, call mommom and popop, call Jess ""","false","false","true","5","3","","false","false","true","true","3","true","true","true","","false","true","6","false","","2024-02-09T03:57:33.992Z","false","true"
"53","Days","false","","","false","2024-03-07T04:41:55.745Z","""Indo, ta, lunch, chill, ursinus game""","true","false","false","4","5","","false","true","false","false","2","false","true","false","","false","true","9","false","","2024-03-07T04:41:55.745Z","false","true"
"30","Days","false","","","false","2024-02-12T04:34:53.157Z","""Scrim against Gettysburg, lunch with parents, Jess came over, great American pub""","true","false","true","4","4","","false","true","true","false","3","false","true","false","","false","true","85","true","","2024-02-12T04:34:53.157Z","false","true"
"35","Days","false","","","true","2024-02-16T03:26:38.029Z","""Lift, Wallball, Breakfast, Nap, Yoga, lunch, Ethics, Took hot tub bath, Practice, Dinner, Homework, Call Kills, Homework, call Jess""","false","false","true","3","5","","true","false","true","true","4","false","true","true","","false","true","7","true","","2024-02-16T03:26:38.029Z","false","true"
"52","Days","false","","","true","2024-03-06T04:49:28.069Z","""Worked on paper all morning, skipped yoga, then got lunch, ethics class, practice, dinner, video games, Bible study, video games, parents call, jess call""","false","false","false","5","4","","true","false","true","false","3","false","true","true","","false","true","93","true","","2024-03-06T04:49:28.069Z","true","false"
"24","Days","false","","","false","2024-02-04T17:44:00.618Z","""Hung out with Jess all day, came back worked on hw ""","false","false","true","4","5","","true","false","true","false","2","false","false","false","","false","true","9","true","","2024-02-04T17:44:00.618Z","true","false"
"27","Days","true","","","false","2024-02-08T03:02:41.593Z","""Captains meeting, film, ta, lunch, practice, called parents and found out popop has cancer, called Jess ""","false","false","false","1","3","","true","false","true","false","2","false","true","true","","false","false","9","true","","2024-02-08T03:02:41.593Z","false","true"
"5","Days","false","","","true","2024-01-13T03:08:53.787Z","""Average day, didn’t do anything athletic. Had classes and got some good work done on my project. I don’t think video games benefit my happiness. ""","false","false","true","3","5","true","true","false","true","false","3","false","false","false","","false","true","8","false","","2024-01-15T04:39:41.955Z","true","false"
"4","Days","false","","","true","2024-01-12T21:45:51.777Z","Played in my first scrimmage since last spring. Played well. Night was not what I was hoping for.","false","true","false","3","3","true","true","false","false","true","3","false","false","true","","false","false","9","true","","2024-01-15T04:39:35.790Z","true","true"
"44","Days","false","","","false","2024-02-28T03:34:40.452Z","""Indo, trip down to Virginia  ""","false","false","true","5","4","","false","true","false","false","2","true","false","false","","false","false","8","false","","2024-02-28T03:34:40.452Z","false","false"
"32","Days","false","","","false","2024-02-13T15:44:41.567Z","""indo, talked to coaches, lunch, ta, went in for film, practice, went out to dinner with mom, had bible study, played video games, called jess, watched a movie with all the roommates""","false","false","true","5","4","","false","true","true","false","2","false","true","true","","false","true","85","true","","2024-02-13T15:44:41.567Z","true","true"
"41","Days","false","","","false","2024-02-24T03:43:07.595Z","""Spring break send off, wallball, math office, lunch, watched vitone make video, film, saint joes game, laundry, dinner, video games with Jared ""","false","false","true","2","5","","false","true","false","false","2","false","false","false","","false","false","6","true","","2024-02-24T03:43:07.595Z","true","true"
"51","Days","false","","","false","2024-03-05T05:51:43.081Z","""Lift, breakfast, indo, lunch, ta, practice, video games, dinner, hw, Jess call""","false","false","true","5","4","","true","true","true","true","4","true","false","true","","false","true","8","false","","2024-03-05T05:51:43.081Z","true","true"
"68","Days","false","false","false","false","2024-03-24T18:16:09.365Z","""Got sushi with Jess, went to the wings game with Jess kills and Mav, talked to Bryan, went to wawa with Jess""","false","false","true","6","6","","false","false","true","false","3","false","false","false","false","false","true","73","","1","2024-03-24T18:16:09.365Z","false","false"
"65","Days","false","false","true","false","2024-03-21T04:31:10.839Z","""Ran indo, easy riser, hung out with dr huddell, graded, ta, lunch, super smash bros, film, practice, dinner, hw, video games, mommom call for birthday, jess call, listened to distrack on shane and Jacob, anime with minch""","false","false","true","6","4","","true","true","true","false","4","false","false","true","true","false","true","83","","3","2024-03-21T04:31:10.839Z","true","true"
"34","Days","false","","","false","2024-02-15T03:02:58.188Z","""Film with coach, ta, lunch, fixed car headlights, practice, dinner, video games, second dinner, call Jess ""","false","false","false","5","4","","true","false","true","false","3","false","false","true","","false","true","9","true","","2024-02-15T03:02:58.188Z","true","true"
"23","Days","false","","","false","2024-02-04T17:40:17.850Z","""First scrimmage day, played well, then did Valentine’s Day with Jess ""","true","false","true","5","4","","false","false","true","false","2","false","true","false","","false","true","8","true","","2024-02-04T17:40:17.850Z","false","false"
"afaf301c-23db-4762-9fe7-5861750941a9","Days","false","","","true","2024-01-31T03:52:25.378Z","""Zime, yoga, hanged around math office, lunch, ethics, practice, dinner, dinner with parents, call with jess""","false","false","true","5","5","false","false","false","true","false","4","false","true","true","","false","true","84","false","","2024-01-31T03:52:25.378Z","false","false"
"58","Days","false","false","false","false","2024-03-14T04:01:20.240Z","""Breakfast, hw, ta, lunch, super smash with freshmen, practice, dinner, hw, video games, hw, Jess call""","false","false","true","4","3","","true","false","true","false","3","false","true","true","false","false","true","93","","3","2024-03-14T04:01:20.240Z","true","false"
"46","Days","false","","","false","2024-02-28T03:44:40.482Z","""Practice, lunch, catan, chill, fun land, Olive Garden, film, full metal jacket ""","false","false","true","5","3","","false","false","true","false","3","false","false","true","","false","false","8","false","","2024-02-28T03:44:40.482Z","false","false"
"19","Days","true","","","false","2024-01-27T05:11:11.567Z","""Film, ta, lunch, practice, found out about grandads surgery, talked to dad, played games with Noah and Dan. Called Jess. ""","false","false","false","1","5","","false","true","true","false","2","false","true","true","","false","false","9","true","","2024-01-27T05:11:11.567Z","true","true"
"26","Days","false","","","true","2024-02-07T04:29:42.530Z","""Classes, hangout in computer science department, lunch, ethics, practice, dinner, homework for presentation and project proposal ""","false","false","true","5","3","","true","false","true","false","3","false","false","true","","false","true","9","true","","2024-02-07T04:29:42.530Z","false","false"
"55","Days","false","true","true","false","2024-03-10T08:03:11.695Z","""Woke up and got on bus, game at Arcadia, went to lunch with parents, video games, Jess call, Bible time with Ethan, wags and pags joined, lost an hour of sleep due to daylight savings""","true","false","true","5","4","","false","false","true","false","3","false","true","false","false","false","true","7","","2","2024-03-10T08:03:11.695Z","true","false"
